Raumnummer;GrÃ¶sse;ArbeitsplÃ¤tze;Konform
6420.00.173;17,83;3;nein
6420.00.175;17,7;3;nein
6420.00.176;17,8;3;nein
6420.00.178;17,67;3;nein
6420.00.179;17,83;3;nein
6420.00.181;19,91;4;nein
6420.00.303;22,61;4;nein
6420.00.305;22,61;4;nein
6420.00.548;31,41;6;nein
6420.00.561;13,58;2;nein
6420.00.622;23,42;4;nein
6420.00.623;13,58;2;nein
6420.01.007;17,77;3;nein
6420.01.008;17,82;3;nein
6420.01.010;17,77;3;nein
6420.01.011;17,82;3;nein
6420.01.054;;4;nein
6420.01.064;17,81;3;nein
6420.01.066;17,81;3;nein
6420.01.067;17,81;3;nein
6420.01.069;17,81;3;nein
6420.01.070;17,45;3;nein
6420.01.072;14,78;3;nein
6420.01.300;36,28;6;nein
6420.01.308;23,47;4;nein
6420.01.317;24,1;4;nein
6420.01.321;13,75;2;nein
6420.01.326;18,01;3;nein
6420.01.332;17,31;3;nein
6420.01.333;18;3;nein
6420.01.407;16,31;3;nein
6420.01.410;13,63;2;nein
6420.01.504;13,68;2;nein
6420.01.607;13,16;2;nein
6420.01.608;13,22;2;nein
6420.02.002;19,91;3;nein
6420.02.027;23,97;4;nein
6420.02.029;;1;nein
6420.02.309;23,57;4;nein
6420.02.312;24,09;4;nein
6420.02.314;24,1;4;nein
6420.02.319;23,75;4;nein
6420.02.323;18;3;nein
6420.02.325;24,08;4;nein
6420.02.326;22,95;4;nein
6420.02.329;13,26;2;nein
6420.02.330;21,11;4;nein
6420.02.334;17,99;3;nein
6420.02.336;17,99;3;nein
6420.02.339;17,95;3;nein
6420.02.340;17,99;3;nein
6420.02.349;24,25;4;nein
6420.02.351;24,2;4;nein
6420.02.364;18;3;nein
6420.02.365;17,95;3;nein
6420.02.367;17,65;3;nein
6420.02.368;16,7;3;nein
6420.02.504;13,66;2;nein
6420.02.505;13,61;2;nein
6420.02.607;13,58;2;nein
6420.02.608;13,66;2;nein
6420.03.504;13,54;2;nein
6420.03.505;;2;nein
6420.99.036;18,75;4;nein
6420.99.049;13,22;3;nein
6420.99.083;26,39;5;nein
6420.99.084;26,3;5;nein
6420.99.201;17,8;3;nein
6420.99.546;13,6;2;nein
6420.99.622;26,99;5;nein
6420.99.698;13,6;2;nein
6420.00.138;;2;nein

