Technische Raunmummer unten auf dem Glas;Bauteil Leitsystem auf dem Glas;Text erste Zeile (fett) -> MetaBoldRoman 36 fett;Text zweite Zeile  -> MetaNormalRoman 32Ausnahme: Dienstzimmer: MetaBoldRoman 32 fett ;Text dritte Zeile (leicht) -> MetaNormalRoman 32 nicht fett;Ebene auf dem Glas;Style ;leitende Raumnummerklein oben rechts;leitende Raumnummergroß in der Mitte;PiktogrammTürschild;Zusätzlicher Text oder Nummerauf dem Türblatt
6420.99.367A;B;Arbeitsraum unrein;;;99;Style 1;367A;;;
6420.99.248;C;Abstellraum;Geräte;;99;Style 1;;12;;
6420.99.367C;B;Aufwachraum;Dienstzimmer;;99;Style 1;367C;;;
6420.99.253;C;Abstellraum;Geräte;;99;Style 1;;13;;
6420.99.367E;C;Aufwachraum;Kind;;99;Style 1;;1;;
6420.99.367F;C;Aufwachraum;;;99;Style 1;;2;;
6420.99.367G;C;Aufwachraum;;;99;Style 1;;3;;
6420.99.367H;C;Aufwachraum;;;99;Style 1;;4;;
6420.99.378;C;Abstellplatz;Betten;;99;Style 1;378;;;
6420.99.378;C;Abstellplatz;Betten;;99;Style 1;378;;;
6420.99.380;C;Schleuse;Umbetten 3;;99;Style 1;380;;;
6420.99.380;C;Schleuse;Umbetten 3;;99;Style 1;380;;;
6420.99.383;C;Aufbereitung;Lafetten;;99;Style 1;383;;;
6420.99.383;C;Aufbereitung;Lafetten;;99;Style 1;383;;;
6420.99.386;C;AWT OP;Entsorgung ;;99;Style 1;386;;;
6420.99.387;C;AWT OP;Entsorgung ;;99;Style 1;387;;;
6420.99.389;C;AWT OP;Versorgung;;99;Style 1;389;;;
6420.99.390;C;AWT OP;Versorgung;;99;Style 1;390;;;
6420.99.392;F;Personal;;;99;Style 1;392;;;
6420.99.393;C;OP;Ärztliche Direktoren;Frau H. Waldendmaier;99;Style 1;393;;;
6420.99.394;C;Allgemeine Bereiche;HPA, SV. Experten;;99;Style 1;394;;;
6420.99.395;C;Reinigung;;;99;Style 1;395;;;
6420.99.400;A;Umkleide Personal;Herren;;99;Style 1;400;;Herren;
6420.99.400;A;Umkleide Personal;Herren;;99;Style 1;400;;Herren;
6420.99.405;A;Umkleide Personal;Damen;;99;Style 1;405;;Damen;
6420.99.405;A;Umkleide Personal;Damen;;99;Style 1;405;;Damen;
6420.99.410;A;Vorbereitung DSA ;;;99;Style 2;;28 DSA;;28 DSA
6420.99.410A;A;;;;99;;;;;
6420.99.410A;A;Technik;DSA;;99;Style 1;410A;;;
6420.99.410B;A;Waschraum;;;99;Style 1;410B;;;
6420.99.410B;A;Waschraum;;;99;Style 1;410B;;;
6420.99.413;A;;;;99;;;;;
6420.99.413;A;Schaltraum ;DSA;;99;Style 1;413;;;
6420.99.416;A;;;;99;;;;;
6420.99.419;A;Vorbereitung DSA ;;;99;Style 2;;27 DSA;;27 DSA
6420.99.419A;A;;;;99;;;;;
6420.99.419A;A;Technik;DSA;;99;Style 1;419A;;;
6420.99.367D;C;Lager;med. Bedarf;;99;Style 2;;6;;
6420.99.423;A;Personal;WC / Dusche;;99;Style 1;423;;;
6420.99.424;A;Diagnostische und Interventionelle Radiologie ;Bereitschaftsdienstzimmer MTRA;;99;Style 1;424;;;
6420.99.426;A;Schaltraum;CT 2;;99;Style 1;426;;;
6420.99.426;A;;;;99;;;;;
6420.99.426;A;Technik;CT;;99;Style 1;426;;;
6420.99.427;A;WC ;;;99;Style 3;427;;P_D-H;P_D-H
6420.99.428;A;Umkleide;Patienten;;99;Style 2;;29 CT;;29 CT
6420.99.429;A;;;;99;;;;;
6420.99.429;A;CT ;;;99;Style 2;;2;;CT 2 
6420.99.500;E;AWT;;;99;Style 1;500;;;
6420.99.501;E;AWT;;;99;Style 1;501;;;
6420.99.504;E;Lager;;;99;Style 2;;8;;
6420.99.505;E;Eingriffsraum;;;99;Style 1;505;;;
6420.99.505;E;Eingriffsraum;;;99;Style 1;505;;;
6420.99.511;E;Lager;Wäsche;;99;Style 2;;9;;
6420.99.512;E;Arbeitsraum;;;99;Style 1;512;;;
6420.99.515;E;WC Personal;Herren;;99;Style 3;515;;P_H;
6420.99.516;E;WC Personal;Damen;;99;Style 3;516;;P_D;
6420.99.518;E;Bereitschaftsdienstzimmer;;;99;Style 2;;A;;
6420.99.518A;E;;;;99;;;;;
6420.99.519;E;Bereitschaftsdienstzimmer;;;99;Style 2;;B;;
6420.99.519A;E;;;;99;;;;;
6420.99.521;E;Lager;Geräte;;99;Style 2;;10;;
6420.99.524;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;1;;1
6420.99.527;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;2;;2
6420.99.530;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;3;;3
6420.99.533;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;4;;4
6420.99.536;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;5;;5
6420.99.539;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;6;;6
6420.99.542;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;7;;7
6420.99.545;E;Viszeralchirurgie / Anästhesiologie;Dienstzimmer;HPA, Experten,SV;99;Style 1;545;;;
6420.99.546;E;Viszeralchirurgie / Anästhesiologie;Leitende Stationsärzte;;99;Style 1;549;;;
6420.99.548;E;Viszeralchirurgie / Urologie;Dienstzimmer;Frau B. Trierweiler-Hauke;99;Style 1;548;;;
6420.99.549;E;Viszeralchirurgie / Anästhesiologie;Dienstzimmer;Pflege;99;Style 1;549;;;
6420.99.554;E;Arbeitsraum rein ;;;99;Style 1;554;;;
6420.99.554;E;Arbeitsraum rein;;;99;Style 1;554;;;
6420.99.557;E;Arbeitsraum unrein;;;99;Style 1;557;;;
6420.99.557;E;Arbeitsraum unrein;;;99;Style 1;557;;;
6420.99.560;E;Lager;Geräte;;99;Style 1;;11;;
6420.99.561;E;Teeküche;;;99;Style 1;561;;;
6420.99.563;E;Lager;;;99;Style 2;;12;;
6420.99.563;E;Lager;;;99;Style 2;;12;;
6420.99.566;E;Personal;;;99;Style 1;566;;;
6420.99.566;E;Personal;;;99;Style 1;566;;;
6420.99.569;E;WC ;Damen;;99;Style 3;569;;P_D;P_D
6420.99.570;E;WC ;Herren;;99;Style 3;570;;P_H;P_H
6420.99.571;E;WC ;Barrierefrei;;99;Style 3;571;;P_B;P_B
6420.99.573;E;Lager;Geräte;;99;Style 1;;13;;
6420.99.575;E;Besprechungsraum Intensiv;;;99;Style 1;575;;;
6420.99.578;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;8;;8
6420.99.581;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;9;;9
6420.99.584;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;10;;10
6420.99.587;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;11;;11
6420.99.590;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;12;;12
6420.99.593;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;13;;13
6420.99.595;E;Intensivstation E;Chirurgie /  Anästhesiologie;Patientenzimmer;99;Style 2;;14;;14
6420.99.598;E;Viszeralchirurgie / Anästhesiologie;Dienstzimmer;ICU Stationsärzte;99;Style 1;597;;;
6420.99.600;E;Angehörige;;;99;Style 1;600;;;
6420.99.602;F;;;;99;;;99.602;;
6420.99.604;F;Aufbereitung;Dialyse;;99;Style 1;604;;;
6420.99.604;F;Aufbereitung;Dialyse;;99;Style 1;604;;;
6420.99.608;F;Bettenaufbereitung;;;99;Style 1;608;;;
6420.99.608;F;Bettenaufbereitung;;;99;Style 1;608;;;
6420.99.614;F;AWT;;;99;Style 1;614;;;
6420.99.616;F;Reinigung;;;99;Style 1;616;;;
6420.99.617;F;WC Personal;Herren;;99;Style 3;617;;P_H;
6420.99.618;F;WC Personal;Damen;;99;Style 3;618;;P_D;
6420.99.620;F;Lager;Geräte;;99;Style 2;;14;;
6420.99.622;F;Herzchirurgie;Dienstzimmer;Assistenzärzte;99;Style 1;622;;;
6420.99.625;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;31;;31
6420.99.628;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;32;;32
6420.99.631;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;33;;33
6420.99.634;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;34;;34
6420.99.637;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;35;;35
6420.99.640;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;36;;36
6420.99.643;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;37;;37
6420.99.646;F;Herzchirurgie;zentrales Monitoring;Fachärzte;99;Style 1;646;;;
6420.99.648;F;Herzchirurgie;Dienstzimmer;SV, HPA, Experten;99;Style 1;648;;;
6420.99.649;F;Herzchirurgie;Stellvertretende Stationsleitung;Frau A. Brobeil;99;Style 1;649;;;
6420.99.654;F;Arbeitsraum rein;;;99;Style 1;654;;;
6420.99.654;F;Arbeitsraum rein;;;99;Style 1;654;;;
6420.99.657;F;Arbeitsraum unrein;;;99;Style 1;657;;;
6420.99.657;F;Arbeitsraum unrein;;;99;Style 1;657;;;
6420.99.660;F;Lager;Geräte;;99;Style 2;;15;;
6420.99.661;F;Teeküche;;;99;Style 1;661;;;
6420.99.663;F;Lager;;;99;Style 1;;16;;
6420.99.663;F;Lager;;;99;Style 1;;16;;
6420.99.666;F;Personal;;;99;Style 1;666;;;
6420.99.666;F;Personal;;;99;Style 1;666;;;
6420.99.669;F;WC ;Damen;;99;Style 3;669;;P_D;P_D
6420.99.670;F;WC ;Herren;;99;Style 3;670;;P_H;P_H
6420.99.672;F;Bereitschaftsdienstzimmer;;;99;Style 2;;C;;
6420.99.672A;F;;;;99;;;;;
6420.99.673;F;Bereitschaftsdienstzimmer;;;99;Style 2;;D;;
6420.99.673A;F;;;;99;;;;;
6420.99.675;F;Lager;Geräte;;99;Style 2;;17;;
6420.99.678;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;38;;38
6420.99.681;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;39;;39
6420.99.684;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;40;;40
6420.99.687;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;41;;41
6420.99.690;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;42;;42
6420.99.693;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;43;;43
6420.99.695;F;IMC- und Intensivstation F;Herzchirurgie ;Patientenzimmer;99;Style 2;;44;;44
6420.99.697;F;Herzchirurgie;Stellvertretungen ;Frau S. KellerFrau D. Badowski-Zyla;99;Style 1;697;;;
6420.99.698;F;Herzchirurgie;Dienstzimmer;Herr Dr. M. Verch;99;Style 1;698;;;
6420.99.710;A;;;;99;;;;;
6420.99.712;A;Technik;CT;;99;Style 1;712;;;
6420.99.713;A;Technik;MRT;;99;Style 1;713;;;
6420.99.715;A;Technik;ELT SV A;;99;Style 1;715;;;
6420.99.716;A;Technik;ELT AV A;;99;Style 1;716;;;
6420.99.717;A;Technik;EDV A;;99;Style 1;717;;;
6420.99.718;A;;;;99;;;;;
6420.99.720;A;Technik;ELT;;99;Style 1;720;;;
6420.99.749;A;Technik;IT Raum A;;99;Style 1;749;;;
6420.99.750;A;;;;99;;;;;
6420.99.753;B;;;;99;;;;;
6420.99.756;B;;;;99;;;;;
6420.99.765;C;;;;99;;;;;
6420.99.770;A;Technik;ELT;;99;Style 1;770;;;
6420.99.772;A;Technik;ELT;;99;Style 1;772;;;
6420.99.774;A;;;;99;;;;;
6420.99.776;E;;;;99;;;;;
6420.99.777;E;;;;99;;;;;
6420.99.778;E;Technik;EDV E;;99;Style 1;778;;;
6420.99.779;E;;;;99;;;;;
6420.99.780;E;;;;99;;;;;
6420.99.781;E;Technik;ELT SV E;;99;Style 1;781;;;
6420.99.782;E;Technik;ELT AV E;;99;Style 1;782;;;
6420.99.785;E;;;;99;;;;;
6420.99.786;E;Technik;IT Raum E;;99;Style 1;786;;;
6420.99.787;F;Technik;ELT AV F;;99;Style 1;787;;;
6420.99.788;F;Technik;ELT SV F;;99;Style 1;788;;;
6420.99.789;F;;;;99;;;;;
6420.99.790;F;;;;99;;;;;
6420.99.791;F;;;;99;;;;;
6420.99.792;F;;;;99;;;;;
6420.99.793;F;Technik;EDV F;;99;Style 1;793;;;
6420.99.795;F;;;;99;;;;;
6420.99.797;F;Technik;IT Raum F;;99;Style 1;797;;;
6420.99.800;A;;;;99;;;;;
6420.99.800;A;;;;99;;;;;
6420.99.800;A;;;;99;;;;;
6420.99.801;A;;;;99;;;;;
6420.99.802;B;;;;99;;;;;
6420.99.803;C;;;;99;;;;;
6420.99.804;E;;;;99;;;;;
6420.99.805;E;;;;99;;;;;
6420.99.805;E;;;;99;;;;;
6420.99.806;F;;;;99;;;;;
6420.99.807;F;;;;99;;;;;
6420.99.807;F;;;;99;;;;;
6420.99.820;A;;;;99;;;;;
6420.99.820;A;;;;99;;;;;
6420.99.821;A;;;;99;;;;;
6420.99.822;A;;;;99;;;;;
6420.99.822;A;;;;99;;;;;
6420.99.823;A;;;;99;;;;;
6420.99.823;A;;;;99;;;;;
6420.99.824;A;;;;99;;;;;
6420.99.826;A;;;;99;;;;;
6420.99.826;A;;;;99;;;;;
6420.99.827;A;;;;99;;;;;
6420.99.827;A;;;;99;;;;;
6420.99.828;A;;;;99;;;;;
6420.99.829;A;;;;99;;;;;
6420.99.830;A;;;;99;;;;;
6420.99.830;A;;;;99;;;;;
6420.99.830;A;;;;99;;;;;
6420.99.831;A;;;;99;;;;;
6420.99.834;B;;;;99;;;;;
6420.99.834;A;;;;99;;;;;
6420.99.835;B;;;;99;;;;;
6420.99.835;A;;;;99;;;;;
6420.99.835;B;;;;99;;;;;
6420.99.836;B;;;;99;;;;;
6420.99.837;B;;;;99;;;;;
6420.99.837;B;;;;99;;;;;
6420.99.837;B;;;;99;;;;;
6420.99.838;B;;;;99;;;;;
6420.99.839;B;;;;99;;;;;
6420.99.839;B;;;;99;;;;;
6420.99.842;B;;;;99;;;;;
6420.99.842;B;;;;99;;;;;
6420.99.843;B;;;;99;;;;;
6420.99.843;B;;;;99;;;;;
6420.99.843;B;;;;99;;;;;
6420.99.845;C;;;;99;;;;;
6420.99.845;B;;;;99;;;;;
6420.99.846;C;;;;99;;;;;
6420.99.846;B;;;;99;;;;;
6420.99.846;C;;;;99;;;;;
6420.99.847;C;;;;99;;;;;
6420.99.847;B;;;;99;;;;;
6420.99.848;C;;;;99;;;;;
6420.99.849;C;;;;99;;;;;
6420.99.850;C;;;;99;;;;;
6420.99.850;C;;;;99;;;;;
6420.99.850;C;;;;99;;;;;
6420.99.851;C;;;;99;;;;;
6420.99.851;C;;;;99;;;;;
6420.99.854;C;;;;99;;;;;
6420.99.854;C;;;;99;;;;;
6420.99.854;C;;;;99;;;;;
6420.99.855;E;;;;99;;;;;
6420.99.855;A;;;;99;;;;;
6420.99.855;A;;;;99;;;;;
6420.99.856;A;;;;99;;;;;
6420.99.856;A;;;;99;;;;;
6420.99.857;A;;;;99;;;;;
6420.99.857;A;;;;99;;;;;
6420.99.857;A;;;;99;;;;;
6420.99.858;A;;;;99;;;;;
6420.99.858;A;;;;99;;;;;
6420.99.860;B;;;;99;;;;;
6420.99.860;A;;;;99;;;;;
6420.99.861;B;;;;99;;;;;
6420.99.863;B;;;;99;;;;;
6420.99.864;C;;;;99;;;;;
6420.99.865;C;;;;99;;;;;
6420.99.865;C;;;;99;;;;;
6420.99.866;C;Schleuse;Umbetten 3;;99;Style 1;866;;;
6420.99.867;F;;;;99;;;;;
6420.99.867;E;;;;99;;;;;
6420.99.867;E;;;;99;;;;;
6420.99.870;A;;;;99;;;;;
6420.99.871;A;;;;99;;;;;
6420.99.871;A;;;;99;;;;;
6420.99.872;A;;;;99;;;;;
6420.99.875;E;;;;99;;;;;
6420.99.875;E;;;;99;;;;;
6420.99.875;E;Abstellplatz;Betten;;99;Style 1;875;;;
6420.99.876;E;;;;99;;;;;
6420.99.877;E;;;;99;;;;;
6420.99.877;E;;;;99;;;;;
6420.99.877;F;;;;99;;;;;
6420.99.878;E;;;;99;;;;;
6420.99.880;E;;;;99;;;;;
6420.99.880;E;;;;99;;;;;
6420.99.880;E;;;;99;;;;;
6420.99.882;E;;;;99;;;;;
6420.99.882;E;;;;99;;;;;
6420.99.883;E;;;;99;;;;;
6420.99.885;F;;;;99;;;;;
6420.99.885;F;Abstellplatz;Betten;;99;Style 1;885;;;
6420.99.886;F;;;;99;;;;;
6420.99.886;F;;;;99;;;;;
6420.99.886;F;;;;99;;;;;
6420.99.887;F;;;;99;;;;;
6420.99.887;F;;;;99;;;;;
6420.99.887;F;;;;99;;;;;
6420.99.888;F;;;;99;;;;;
6420.99.888;F;;;;99;;;;;
6420.99.889;F;;;;99;;;;;
6420.99.890;F;;;;99;;;;;
6420.99.891;F;;;;99;;;;;
;;;;;;;;;;
6420.00.001;A;;Dienstzimmer;;0;Style 1;1;;;
6420.00.002;A;Behandlung;;;0;Style 2;;A 10;;A 10
6420.00.004;A;Behandlung;;;0;Style 2;;A 11;;A 11
6420.00.006;A;Behandlung;;;0;Style 2;;A 13;;A 13
6420.00.006a;A;Behandlung;;;0;Style 2;;A 12;;A 12
6420.00.007;A;Behandlung;;;0;Style 2;;A 14;;A 14
6420.00.008;A;Behandlung;EKG und Lungenfunktion;;0;Style 2;;A 15;;A 15
6420.00.010;A;Studierendensekretariat ;PJ und Wahlfachtracks;;0;Style 1;10;;;
6420.00.013;A;Seminarraum 1;;;0;Style 1;13;;;
6420.00.013;A;Seminarraum 1;;;0;Style 1;13;;;
6420.00.015;A;Seminarraum 2 ;;;0;Style 1;15;;;
6420.00.015;A;Seminarraum 2 ;;;0;Style 1;15;;;
6420.00.017;A;Seminarraum 3;;;0;Style 1;17;;;
6420.00.018;A;AWT;;;0;Style 1;18;;;
6420.00.019;A;;;;0;;;;;
6420.00.019;A;WC Personal;Herren;;0;Style 3;19;;P_H;
6420.00.019A;A;;;;0;;;;;
6420.00.019A;A;;;;0;;;;;
6420.00.020;A;;;;0;;;;;
6420.00.020;A;WC Personal;Damen;;0;Style 3;20;;P_D;
6420.00.020A;A;;;;0;;;;;
6420.00.020A;A;;;;0;;;;;
6420.00.022;A;Lager;;;0;Style 2;;1;;
6420.00.023;A;Arbeitsraum unrein;;;0;Style 1;23;;;
6420.00.024;A;Arbeitsraum rein;;;0;Style 1;24;;;
6420.00.026;A;Reinigung;;;0;Style 1;26;;;
6420.00.030;A;Technikraum;;Vorbereitung;0;Style 1;26;;;
6420.00.030;A;Technikraum;;Vorbereitung;0;Style 1;30;;;
6420.00.030A;A;Hörsaal;Lager 1;;0;Style 1;30;;;
6420.00.030A;A;Hörsaal;Lager 1;;0;Style 1;030A;;;
6420.00.030B;A;Hörsaal;Lager 2;;0;Style 1;030A;;;
6420.00.034;A;WC ;Barrierefrei;;0;Style 3;34;;P_B;P_B
6420.00.035;A;WC ;Herren;;0;Style 3;35;;P_H;P_H
6420.00.035A;A;;;;0;;;;;
6420.00.035A;A;;;;0;;;;;
6420.00.035A;A;;;;0;;;;;
6420.00.037;A;WC ;Damen;;0;Style 3;37;;P_D;P_D
6420.00.037;A;;;;0;;;;;
6420.00.037;A;;;;0;;;;;
6420.00.037;A;;;;0;;;;;
6420.00.038;A;Reinigung;;;0;Style 1;38;;;
6420.00.040;A;Hörsaal;;;0;Style 3;40;;barrierefrei;
6420.00.040;A;Hörsaal;;;0;Style 3;40;;barrierefrei;
6420.00.040;A;Hörsaal;;;0;Style 3;40;;barrierefrei;
6420.00.040;A;Hörsaal;Projektionsraum;;0;Style 1;40;;;
6420.00.040;A;Hörsaal;Projektionsraum;;0;Style 1;40;;;
6420.00.040;A;Hörsaal;Projektionsraum;;0;Style 1;40;;;
6420.00.046;A;HeiCuMed Chirurgie;;;0;Style 1;46;;;
6420.00.047;A;HeiCuMed;;;0;Style 1;47;;;
6420.00.050;A;;;;0;;;;;
6420.00.050;A;Warten;A3;;0;Style 3;50;;warten;
6420.00.052;A;Warten;A4;;0;Style 3;52;;warten;
6420.00.052;A;;;;0;;;;;
6420.00.053;A;Behandlung;;;0;Style 2;;A 16;;A 16
6420.00.055;A;Behandlung;;;0;Style 2;;A 17;;A 17
6420.00.055;A;;;;0;;;;;
6420.00.056;A;Behandlung;;;0;Style 2;;A 18;;A 18
6420.00.056A;A;WC ;Herren;;0;Style 3;056A;;P_H;P_H
6420.00.056B;A;WC ;Damen;;0;Style 3;056B;;P_D;P_D
6420.00.058;A;Lager;;;0;Style 2;;2;;
6420.00.059;A;Medizintechnik;Werkstatt ZIM/MT;;0;Style 1;59;;;
6420.00.061;A;Leitung HeiCuMed;;;0;Style 1;61;;;
6420.00.063;A;Seminarraum 4;;;0;Style 1;63;;;
6420.00.063.1;A;Seminarraum 5;Shared Desk Asistenten Viszeralchirurgie;;0;Style 1;063.1;;;
6420.00.065;A;Seminarraum 6.1;;;0;Style 1;65;;;
6420.00.065;A;Seminarraum 6.2;;;0;Style 1;65;;;
6420.00.067;A;Seminarraum 7;Trainingszentrum Chirurgie;;0;Style 1;67;;;
6420.00.100;B;WC ;Herren;;0;Style 3;100;;P_H;P_H
6420.00.101;B;WC ;Damen;;0;Style 3;101;;P_D;P_D
6420.00.102;B;Reinigung;;;0;Style 1;102;;;
6420.00.103;B;WC Personal;Herren;;0;Style 1;103;;;
6420.00.104;B;WC Personal;Damen;;0;Style 1;104;;;
6420.00.106;B;EPZ;;;0;Style 2;;B 24;;B 24
6420.00.107;B;DIR;Sprechstunde;;0;Style 2;;B 20;;B 20
6420.00.109;B;Behandlung;GE-Sprechstunde;;0;Style 2;;B 21;;B 21
6420.00.110;B;Behandlung;Onko-Sprechstunde;;0;Style 2;;B 22;;B 22
6420.00.112;B;EPZ;;;0;Style 2;;B 23;;B 23
6420.00.113;B;ÖKH Teeküche;;;0;Style 1;113;;;
6420.00.115;B;Blutabnahme Sprechstunden;;;0;Style 1;115;;;
6420.00.116;B;Gefäßsprechstunde;;;0;Style 2;;B 26;;B 26
6420.00.118;B;Gefäßsprechstunde;;;0;Style 2;;B 27;;B 27
6420.00.119;B;Behandlung;;;0;Style 2;;B 28;;B 28
6420.00.121;B;Behandlung;;;0;Style 2;;B 29;;B 29
6420.00.122;B;Behandlung;;;0;Style 2;;B 30;;B 30
6420.00.124;B;Behandlung;;;0;Style 2;;B 31;;B 31
6420.00.125;B;Behandlung;;;0;Style 2;;B 32;;B 32
6420.00.127;B;Behandlung;;;0;Style 2;;B 33;;B 33
6420.00.129;B;Behandlung;;;0;Style 2;;B 34;;B 34
6420.00.131;B;Dienstzimmer;Backoffice Sprechstunden;;0;Style 1;131;;;
6420.00.132;B;Dienstzimmer;Backoffice Sprechstunden;Frau H. Gilg Frau T. Körner ;0;Style 1;132;;;
6420.00.134;B;Personal;;;0;Style 1;134;;;
6420.00.137;B;Frontoffice Sprechstunden;;;0;Style 1;137;;;
6420.00.138;B;Backoffice Sprechstunden;Dienstzimmer;;0;Style 1;138;;;
6420.00.140;B;Allgemein-, Viszeral- und Transplantationschirurgie;Pankreaszentrum;Frau A. Teichgräber;0;Style 1;140;;;
6420.00.141;B;Allgemein-, Viszeral- und Transplantationschirurgie;Backoffice Sprechstunden;Frau K. Gerlach;0;Style 1;141;;;
6420.00.143;B;Behandlung;Stomatherapie;;0;Style 2;;B 35;;B 25
6420.00.144;B;WC;Barrierefrei;;0;Style 3;144;;P_B;P_B
6420.00.145;B;WC;;;0;Style 3;145;;P_D-H;P_D-H
6420.00.146;B;Arbeitsraum unrein;;;0;Style 1;146;;;
6420.00.147;B;Lager;;;0;Style 2;;3;;
6420.00.148;B;Abstellraum;Geräte;;0;Style 2;;1;;
6420.00.148;B;Abstellraum;Geräte;;0;Style 2;;1;;
6420.00.150;B;Allgemein-, Viszeral- und Transplantationschirurgie;Transplantationszentrum;Frau E. DalienHerr D. Eipl;0;Style 1;150;;;
6420.00.152;B;Lebertransplantations-Sprechstunde;;Herr N. IvacevicHerr M. Kohlhammer;0;Style 1;152;;;
6420.00.154;B;Arbeitsraum rein;;;0;Style 1;154;;;
6420.00.155;B;WC ;Damen;;0;Style 3;155;;P_D;P_D
6420.00.155;B;;;;0;;;;;
6420.00.157;B;WC ;Herren;;0;Style 3;157;;P_H;P_H
6420.00.158;B;Reinigung;;;0;Style 1;158;;;
6420.00.160;B;WC ;Damen;;0;Style 3;160;;P_D;P_D
6420.00.160;B;;;;0;;;;;
6420.00.160;B;;;;0;;;;;
6420.00.161;B;WC ;Herren;;0;Style 3;161;;P_H;P_H
6420.00.161;B;;;;0;;;;;
6420.00.161;B;;;;0;;;;;
6420.00.163;B;Behandlung;;;0;Style 2;;B 25;;B 25
6420.00.165;B;Sprechstunde Herzchirurgie;;;0;Style 2;; B 38;; B 38
6420.00.166;B;EPZ;;;0;Style 2;; B 39;; B 39
6420.00.168;B;Allgemein-, Viszeral- und Transplantationschirurgie;Dienstzimmer;Herr Prof. Dr. G. Schmidmaier;0;Style 1;168;;;
6420.00.169;B;Allgemein-, Viszeral- und Transplantationschirurgie;Leitung Ambulanz;Herr H. Schwerdt;0;Style 1;169;;;
6420.00.170;B;;Dienstzimmer;;0;Style 1;170;;;
6420.00.172;B;Allgemein-, Viszeral- und Transplantationschirurgie;Dienstzimmer Objektleitung;DSO;0;Style 1;172;;;
6420.00.173;B;Unfallchirurgie;Dienstzimmer Schockraum;Herr Dr. T. Grossner;0;Style 1;173;;;
6420.00.175;B;Allgemein-, Viszeral- und Transplantationschirurgie;Assistenzärzte;Frau Dr. L. PetersHerr Dr. F. PiankaHerr Dr. V. Lozanovski;0;Style 1;175;;;
